timestamp,source,command,duration_ms,success,internal_latency_us
2025-12-19T07:18:48.994Z,WebApp,start,32.86,True,521
2025-12-19T07:18:50.091Z,WebApp,start,87.91,True,988
2025-12-19T07:19:00.535Z,WebApp,start,225.07,True,885
2025-12-19T07:19:01.781Z,WebApp,start,57.93,True,2503
2025-12-19T07:19:13.521Z,WebApp,start,29.72,True,534
2025-12-19T07:19:14.764Z,WebApp,start,73.00,True,980
2025-12-19T07:19:16.100Z,WebApp,start,61.81,True,407
2025-12-19T07:19:17.251Z,WebApp,start,148.48,True,997
2025-12-19T07:19:19.506Z,WebApp,start,93.44,True,986
2025-12-19T07:19:20.631Z,WebApp,start,101.54,True,1010
2025-12-19T07:19:21.705Z,WebApp,start,63.92,True,1026
2025-12-19T07:19:22.760Z,WebApp,start,108.01,True,844
2025-12-19T07:19:25.525Z,WebApp,start,110.35,True,976
2025-12-19T07:25:09.977Z,WebApp,start,60.52,True,412
