timestamp,source,command,duration_ms,success,internal_latency_us
2025-12-24T09:04:15.419Z,WebApp,stop,1005.05,False
2025-12-24T09:04:17.923Z,WebApp,emergency,1011.25,False
2025-12-24T09:04:19.792Z,WebApp,reset,1010.35,False
2025-12-24T09:04:21.655Z,WebApp,start,1008.11,False
2025-12-24T09:04:21.841Z,WebApp,start,1003.91,False
2025-12-24T09:04:23.041Z,WebApp,start,1011.62,False
2025-12-24T09:04:23.226Z,WebApp,start,1008.84,False
2025-12-24T09:04:28.962Z,WebApp,start,1007.16,False
2025-12-24T09:04:29.194Z,WebApp,start,1010.32,False
2025-12-24T09:04:29.443Z,WebApp,start,1008.24,False
2025-12-24T09:04:30.497Z,WebApp,stop,1002.66,False
2025-12-24T09:04:31.255Z,WebApp,emergency,1008.35,False
2025-12-24T09:04:31.938Z,WebApp,reset,1015.45,False
2025-12-24T09:04:34.127Z,WebApp,start,1003.89,False
2025-12-24T09:04:34.346Z,WebApp,start,1004.22,False
2025-12-24T09:05:31.597Z,WebApp,emergency,1013.72,False
2025-12-24T09:05:32.513Z,WebApp,reset,1015.16,False
2025-12-24T09:05:34.019Z,WebApp,emergency,1008.85,False
2025-12-24T09:05:34.452Z,WebApp,reset,1013.03,False
2025-12-24T09:05:36.534Z,WebApp,emergency,1005.58,False
2025-12-24T09:05:37.017Z,WebApp,reset,1007.31,False
2025-12-24T09:05:39.650Z,WebApp,emergency,1007.79,False
2025-12-24T09:05:40.177Z,WebApp,reset,1002.15,False
2025-12-24T09:05:41.548Z,WebApp,emergency,1010.45,False
2025-12-24T09:05:42.075Z,WebApp,reset,1010.66,False
2025-12-24T09:05:43.527Z,WebApp,emergency,1016.19,False
2025-12-24T09:05:44.024Z,WebApp,reset,1014.71,False
2025-12-24T09:05:45.500Z,WebApp,emergency,1013.29,False
2025-12-24T09:05:46.118Z,WebApp,reset,1013.73,False
2025-12-24T09:05:47.169Z,WebApp,emergency,1011.34,False
2025-12-24T09:05:47.880Z,WebApp,reset,1012.17,False
2025-12-24T09:05:49.260Z,WebApp,emergency,1011.70,False
